             306_006377_B_T67_0
No.   COMPONENT NAME                FeederSN
********************************************
   1  101499-000080-00                     1
   2  101499-000052-00                     2
   3  101399-000140-00                     3
   4  101399-000141-00                     4
   5  101499-000088-00                     5
   6  101399-000138-00                     6
   7  101499-000092-00                     7
   8  101403-000250-00                     8
   9  101499-000036-00                     9
  10  101499-000038-00                    10
  11  101499-000044-00                    11
  12  101301-000702-00                    12
  13  101401-000028-00                    13
  14  101499-000071-00                    14
  15  101499-000045-00                    15
  16  101399-000074-00                    16
  17  101399-000075-00                    17
  18  101402-000105-00                    18
  19  101499-000091-00                    19
  20  101499-000091-00                    20
  21  101499-000091-00                    21
  22  101399-000129-00                    22
  23  101499-000072-00                    23
  24  101399-000078-00                    24
  25  101301-000228-00                    25
  26  101301-000038-00                    26
  27  101301-000058-00                    27
  28  101401-000002-00                    28
  29  101403-000006-00                    29
  30  101401-000084-00                    30
  31  101501-000026-00                    31
  32  101301-000003-00                    32
  33  101501-000090-00                    33
  34  101301-000216-00                    34
  35  101301-000168-00                    35
  36  101604-000234-00                    36
  37  101604-000160-00                    37
  39  101604-001480-00                    39
  41  200307-000064-00                    41
  43  101509-000198-00                    43
  45  101509-000112-00                    45
  47  101604-001277-00                    47
 128  100904-000158-00                   128
 130  101604-000082-00                   130
 132  101604-001208-00                   132
***************Feeder  45  PCS**************
